"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2023","161.61","159.85","161.90","159.58","","1.11%"
"03/24/2023","159.83","160.79","160.88","158.26","","-0.54%"
"03/23/2023","160.70","161.24","161.88","159.93","","-0.31%"
"03/22/2023","161.20","161.87","163.36","160.77","","-0.38%"
"03/21/2023","161.82","161.21","162.30","160.74","","0.41%"
"03/20/2023","161.16","161.32","162.04","158.93","","0.44%"
"03/17/2023","160.45","161.95","162.20","160.10","","-0.89%"
"03/16/2023","161.89","160.96","162.19","158.56","","0.58%"
"03/15/2023","160.95","163.20","164.18","159.20","","-1.37%"
"03/14/2023","163.18","162.29","164.15","161.85","","0.59%"
"03/13/2023","162.23","162.38","163.10","160.00","","-0.07%"
"03/10/2023","162.35","162.37","164.69","161.90","","0.02%"
"03/09/2023","162.32","162.69","162.70","161.60","","-0.20%"
"03/08/2023","162.64","162.25","163.02","161.66","","0.22%"
"03/07/2023","162.28","163.45","163.90","162.02","","-0.67%"
"03/06/2023","163.38","163.62","163.82","162.96","","-0.12%"
"03/03/2023","163.58","163.35","163.71","162.97","","0.17%"
"03/02/2023","163.31","163.84","163.97","163.05","","-0.28%"
"03/01/2023","163.77","163.76","164.56","162.85","","0.04%"
"02/28/2023","163.71","164.35","166.07","163.70","","-0.35%"
"02/27/2023","164.28","163.07","164.37","162.59","","0.82%"
"02/24/2023","162.95","161.82","163.15","161.20","","0.70%"
"02/23/2023","161.82","162.64","162.90","161.65","","-0.40%"
"02/22/2023","162.47","163.59","163.60","162.37","","-0.62%"
"02/21/2023","163.49","161.64","163.78","161.43","","1.18%"
"02/20/2023","161.59","161.68","161.77","161.15","","0.09%"
"02/17/2023","161.45","160.68","161.71","160.48","","0.51%"
"02/16/2023","160.63","161.36","161.54","160.46","","-0.42%"
"02/15/2023","161.30","162.02","162.13","160.71","","-0.43%"
"02/14/2023","161.99","160.71","162.23","160.09","","0.82%"
"02/13/2023","160.68","158.48","161.26","158.40","","1.45%"
"02/10/2023","158.39","159.49","159.65","157.51","","-0.68%"
"02/09/2023","159.48","158.60","159.54","158.40","","0.57%"
"02/08/2023","158.58","157.87","158.85","157.60","","0.45%"
"02/07/2023","157.87","159.43","159.71","157.41","","-0.95%"
"02/06/2023","159.39","159.24","159.98","158.52","","0.84%"
"02/03/2023","158.07","157.29","158.80","156.32","","0.52%"
"02/02/2023","157.25","159.60","159.66","157.16","","-1.45%"
"02/01/2023","159.56","160.27","160.73","158.88","","-0.44%"
"01/31/2023","160.27","161.12","161.23","159.74","","-0.53%"
"01/30/2023","161.12","161.02","161.48","160.18","","0.09%"
"01/27/2023","160.98","161.56","161.65","160.39","","-0.35%"
"01/26/2023","161.54","160.72","161.76","159.99","","0.54%"
"01/25/2023","160.68","160.50","160.96","159.49","","0.11%"
"01/24/2023","160.51","161.74","161.82","159.98","","-0.74%"
"01/23/2023","161.70","160.73","161.85","160.35","","0.70%"
"01/20/2023","160.58","159.13","161.33","159.02","","0.93%"
"01/19/2023","159.10","159.18","159.29","157.54","","-0.01%"
"01/18/2023","159.12","157.48","161.57","157.34","","1.06%"
"01/17/2023","157.45","156.76","158.07","156.38","","0.48%"
"01/16/2023","156.70","156.35","157.12","156.07","","0.22%"
"01/13/2023","156.35","157.84","158.09","155.63","","-0.91%"
"01/12/2023","157.79","160.91","161.00","157.71","","-1.90%"
"01/11/2023","160.85","160.77","161.24","160.47","","0.06%"
"01/10/2023","160.75","160.77","160.96","160.02","","0.05%"
"01/09/2023","160.67","159.74","161.27","159.29","","0.61%"
"01/06/2023","159.70","158.94","160.12","158.70","","0.55%"
"01/05/2023","158.83","159.88","160.11","158.48","","-0.64%"
"01/04/2023","159.85","156.77","160.23","156.48","","2.00%"
"01/03/2023","156.72","157.49","158.41","155.34","","-0.47%"
"01/02/2023","157.46","158.63","158.63","157.35","","-0.72%"
